यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।	ई एशिया के सभसे बड़हन मस्जिद सभ में से एक बा।
इसे नवाब शाहजेहन ने बनवाया था ।	ई के नवाब शाहजहाँ बनववले रहलन।
इसका प्रवेश द्वार दो मंजिला है ।	एकर दुआर दुमंजिला बा।
जिसमें चार मेहराबें हैं और मुख्य प्रार्थना हॉल में जाने के लिए 9 प्रवेश द्वार हैं ।	जेहमे चार गो मेहराब बा आ मुख्य प्रार्थना हॉल में जाए खातिर 9 गो दरवाजा बा।
पूरी इमारत बेहद खूबसूरत है ।	पूरा इमारत बहुत सुन्दर बा।
यहाँ लगने वाला तीन दिन का इज्तिमा पूरे देश के लोगों को आमंत्रित करता है ।	एहँ लागे वाला तीन दिन के इज्तिमा पूरा देश के लोगन के नेवता देला।
शौकत महल के सामने बड़ी झील के किनारे स्थित वास्तुकला का यह खूबसूरत नमूना कुदसिया बेगम के काल का है जिन्हें गोहर बेगम भी कहा जाता था ।	शौकत महल के सोझा बड़की झील के किनारे मौजूद वास्तुकला के ई खूबसूरत नमूना कुदसिया बेगम के समय के हवे, जेकरा के गोहर बेगम भी कहल जात रहे।
यह हिंदू और मुगल कला का अद्भुत संगम है ।	ई हिंदू आ मुगल कला के अद्भुत संगम हवे।
यह भारत की अनूठी राष्ट्रीय संस्था है ।	ई भारत के अनूठा राष्ट्रीय संस्था हऽ।
मुख्य रूप से यह प्रदर्शन कला और दृश्य कला का केंद्र है ।	मुख्य रूप से ई प्रदर्शन कला आ दृश्य कला के केंद्र हउवे।
इसे चार्ल्स कोरिया ने डिजाइन किया है ।	ई के चार्ल्स कोरिया डिजाइन कइले बाड़न।
विशाल क्षेत्र में फैले इस भवन के आस - पास का प्राकृतिक सौंदर्य इसे और भी भव्य बनाता है ।	एतना बड़हन इलाका में फइलल एह भवन के आसपास के प्राकृतिक सुंदरता एकरा के अउरी भव्य बनावेला।
यहीं पर एक कला संग्रहालय , कला दीर्घा , फाइन आर्ट के लिए कार्यशाला , एक थिएटर , अंतरंग और बहिरंग ऑडिटोरियम , रिहर्सल कक्ष , भारतीय कविताओं का पुस्तकालय , शास्त्रीय और लोक संगीत संग्रहालय भी हैं ।	एहिजे एगो कला संग्रहालय, कला दीर्घा, फाइन आर्ट खातिर कार्यशाला, एगो थिएटर, अंतरंग आ बहिरंग ऑडिटोरियम, रिहर्सल कक्ष, भारतीय कविता के पुस्तकालय, शास्त्रीय आ लोक संगीत संग्रहालय भी बा।
यह सोमवार के अलावा पूरे सप्ताह दोपहर 2 बजे से रात 8 बजे तक खुला रहता है ।	ई सोमवार छोड़ के पूरा हफ्ता दोपहर 2 बजे से रात 8 बजे तक खुलल रहेला।
यह एक अनूठा संग्रहालय है जो 200 एकड़ में श्यामला हिल्स पर बड़ी झील के सामने फैला है ।	ई एगो अनोखा संग्रहालय हऽ जवन 200 एकड़ में श्यामला हिल्स पर बड़की झील के सोझा फइलल बा।
यह एक प्रागैतिहासिक स्थल पर है और विश्व में अपनी तरह का एक ही संग्रहालय है जो प्रागैतिहासिक चित्रकला से सज्जित गुफाओं के समीप है ।	ई एगो प्रागैतिहासिक जगह पर बा आ दुनिया में आपन तरह के इकलौता अइसन संग्रहालय बा जवन प्रागैतिहासिक चित्रकला से सजल गुफा सभ के लगे बा।
और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।	आ एह तरीका से ई चीज-बस्तु आ परम्परा से जिन्दादिली से जुड़ल बा।
यहाँ आदिवासी , समुद्र किनारे , रेगिस्तान और हिमालय के आवासों के नमूने भी बनाए गए हैं ।	इहाँ आदिवासी, समुन्दर किनारे, रेगिस्तान आ हिमालय के आवास सभ के नमूना भी बनावल गइल बा।
यहाँ संग्रहालय में पुस्तकालय , दृश्य - श्रृव्य आर्काइव , कंप्यूटरीकृत कक्ष व प्रजातीय नमूनों को देखा जाता है ।	इहाँ संग्रहालय में पुस्तकालय, दृश्य-श्रव्य आर्काइव, कंप्यूटरीकृत कक्ष आ प्रजातीय नमूना सभ के देखल जाला।
यहाँ मध्य प्रदेश के विभिन्न हिस्सों से कला के खूबसूरत नमूने एकत्रित करके रखे गए हैं ।	एहँ मध्य प्रदेश के अलग-अलग हिस्सा से कला के बढ़िया नमूना जुटा के रखल गइल बा।
संग्रहालय सोमवार को बंद रहता है ।	संग्रहालय सोमार के बंद रहेला।
यह अरेरा हिल्स पर स्थित है ।	ई अरेरा हिल्स पर स्थित बा।
इससे लगा हुआ एक संग्रहालय है जहाँ मध्यप्रदेश के रायसेन , सीहोर , मंदसौर और शहडोल जिलों से एकत्रित कला नमूनों को रखा गया है ।	एहसे सटल एगो संग्रहालय बा जहाँ मध्यप्रदेश के रायसेन, सीहोर, मंदसौर आ शहडोल जिला से एकट्ठा कइल कला के नमूना रखल गइल बा।
यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।	
बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है ।	
यह 445 हैक्टेयर में फैला है ।	
प्राकृतिक सुंदरता के बीच आप विभिन्न प्रकार के शाकाहारी और माँसाहारी प्राणियों को देखने का आनंद उठा सकते हैं ।	
यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।	
यह मूल रूप से विज्ञान संग्रहालय है जो श्यामला हिल्स की खूबसूरती के बीच स्थित है ।	
यहाँ इन्वेंशन और फन साइंस गैलरी हैं और एक तारामंडल नाम का प्लेनेटेरियम भी है ।	
यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है ।	
शहर के बीच स्थित चौक में पुरानी मस्जिद , हवेलियाँ अतीत की स्मृति दिलाते हैं ।	
सँकरी गलियों में स्थित दुकानें हैं जिनमें शिल्प के खजाने खुले हुए हैं ।	
यहाँ आप चाँदी के आभूषण , बीडवर्क , कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं ।	
बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।	
म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है ।	
छोटी झील में एक मछली के आकार का एक्वेरियम है ।	
कैसे पहुँचे ?	
दिल्ली ग्वालियर , इंदौर और मुंबई से भोपाल के लिए नियमित विमान सेवा है ।	
भोपाल , दिल्ली - मद्रास मेन लाइन पर है ।	
मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं ।	
भोपाल तथा इंदौर , मांडू , उज्जैन , खजुराहो , पचमढ़ी , ग्वालियर , साँची , जबलपुर और शिवपुरी के बीच नियमित बस सेवाएँ हैं ।	
ठहरने के लिए - मध्यप्रदेश पर्यटन विकास निगम के होटल तथा निजी होटल हैं ।	
कब जाएँ ?	
वर्ष में कभी भी आप यहाँ जा सकते हैं ।	
ओरछा का वैभव पत्थरों में जैसे कैद हो गया है , समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं बरसों बरस पीछे , मध्यकाल के एक शहर में .	
जहाँ के मंदिरों और महलों की चमक को समय की धुंध भी धुँधला नहीं सकी है .	
16 से 17वीं शताब्दी में बुंदेला शासकों द्वारा बनवाई गई ये इमारतें प्राचीन वैभव को बयाँ करती हैं ।	
ओरछा , 16वीं शताब्दी में बुंदेला राजपूत रुद्र प्रताप के द्वारा बसाया गया था ।	
उनके आगे के राजाओं ने शानदार इमारतें और भवन बनवाकर इसकी शान में चार चाँद लगा दिए ।	
जिनमें राजा बीर सिंह जूदेव का नाम प्रमुख है ।	
मंदिरों और महलों में बुंदेला कला की खूबसूरत कलाकारी देखते ही बनती है ।	
लक्ष्मीनारायण मंदिर और राजमहल की दीवारें और छतों की कलात्मकता यहाँ की समृद्धि की कहानी कहतीं हैं ।	
यह महल राजा बीर सिंह जूदेव ने 17वीं शताब्दी में जहाँगीर के ओरछा आने के पहले बनवाया था ।	
इसकी मजबूत दीवारों के साथ नाजुकी से बनी हुई छतरियाँ कमाल का संतुलन बनाती हैं और इससे पूरी इमारत अत्यंत समृद्धिपूर्ण प्रभाव देती है ।	
चतुर्भुज के आकार का यह महल 17वीं शताब्दी में मधुकर शाह ने बनवाया था ।	
अंदर धार्मिकता को लिए हुए शोख रंगों की अनोखी शिल्प कलाकृतियाँ हैं ।	
यह दो कृत्रिम तालाबों मुंज तालाब और कापुर तालाब के बीच बना है .	
संभवतः यह सुल्तान गयासुद्दीन खिलजी ने बड़े हरम के रूप में बनवाया था .	
इसके खुले गलियारे , बाहर निकली हुई बालकनी और खूबसूरत छत शाही शौक को आसानी से बयाँ करते हैं .	
रात के समय इसे तवेली महल से निहारना बहुत सुखदायी है .	
यह दर्शकों के लिए बैठक व्यवस्था के रूप में बनाया गया था .	
इसके आस - पास की दीवारें कुछ झुकी हुई सी हैं जिसके कारण इसे हिंडोला महल कहा जाता है .	
बलुआ पत्थरों में नक्काशी का नायाब नमूना यहाँ देखने को मिलता है .	
यहाँ के खूबसूरत स्तंभ मन मोह लेते हैं .	
इसी महल के पास कई छोटे - छोटे भवन हैं जो अपने अतीत की कहानी कहते हैं .	
यह अफगानी कला का बेजोड़ उदाहरण है .	
इसके गुंबद से मोहित होकर शाहजहाँ ने ताज महल बनाने के पहले अपने चार स्थापत्य विशेषज्ञों को यहाँ भेजा था .	
मस्जिद का गलियारा खंभों और आर्चेस से सजा हुआ है .	
इसे रूपमती के महल में पानी पहुँचाने के लिए बनाया गया था .	
अब यह एक पवित्र स्थान के रूप में जाना जाता है .	
यहाँ से पूरे मांडू का विहंगम दृश्य देखा जा सकता है ।	
यह सैनिकों के लिए पूरे क्षेत्र पर निगाह रखने के लिए बनाया गया था ।	
इस भव्य इमारत से बाज बहादुर के महल और निमाड़ के मैदान में बह रही नर्मदा नदी के दर्शन किए जा सकते हैं ।	
कहा जाता है कि रानी के प्रतिदिन नर्मदा दर्शन के पश्चात अन्न - जल ग्रहण करने की आदत के कारण बाज बहादुर ने यह ऊँचा महल बनवाया था ।	
यहाँ शिवजी का मंदिर है जिसमें जाने के लिए अंदर सीढ़ी उतरकर जाना पड़ता है ।	
इस मंदिर के सौंदर्य को शब्दों में बयाँ नहीं किया जा सकता ।	
ऊपर पेड़ों से घिरे तालाब से एक धार नीचे शिवजी का अभिषेक करती जाती है ।	
मंदिर के समीप स्थित इस महल का निर्माण शाह बदगा खान ने अकबर की हिंदू पत्नी के लिए करवाया था ।	
इसकी दीवारों पर अकबर कालीन कला के नमूने देखे जा सकते हैं ।	
हाथी महल , दरिया खान की मजार , दाई का महल , दाई की छोटी बहन का महल , मलिक मघत की मस्जिद और जाली महल भी दर्शनीय हैं ।	
यहाँ ईको पॉइंट पर पर्यटकों की भीड़ लगी ही रहती है ।	
लोहानी गुफाएँ और उनके सामने स्थित सनसेट पॉइंट भी पर्यटकों को खींचता है ।	
कैसे जाएँ	
99 किमी. पर इंदौर हवाई अड्डा सबसे निकट है जो मुंबई , दिल्ली और भोपाल से जुड़ा है ।	
इंदौर , धार , महू , उज्जैन और भोपाल से नियमित बस सेवा द्वारा यहाँ तक पहुँचा जा सकता है ।	
रतलाम रेल मुख्यालय ( 124 किमी. ) मुंबई - दिल्ली मुख्य लाइन पर है और इंदौर 99 किमी. की दूरी पर है ।	
कब जाएँ ,	
जुलाई से लेकर मार्च तक का समय यहाँ जाने के लिए उपयुक्त है ।	
इस समय यहाँ पर्यटकों का मेला लगा रहता है ।	
ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था ।	
कई युद्ध झेल चुका और कितने ही राजा और नवाबों के उत्कर्ष और पतन का साक्षी रहा रणथम्भौर किला समुद्र की सतह से 401 मीटर ऊँची पहाड़ी पर बना है ।	
इसकी तलहटी में 392 वर्गमीटर क्षेत्र में घना जंगल है जो राष्ट्रीय वन्य जीव उद्यान कहलाता है ।	
यहाँ बाघ के अलावा तेंदुआ , हिरण , चीतल , नीलगाय , जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं ।	
किले और उद्यान तक पहुँचने के लिए सिंहद्वार तक एक ही सड़क है ।	
इस किले का निर्माण सन् 994 में किया गया था ।	
किले के अंदर महल , छतरियाँ , फौजी छावनी , हिन्दू - जैन मंदिर , मस्जिद और फकीर की दरगाह के भी अवशेष देखे जा सकते हैं ।	
यहाँ का गणेश मंदिर आज भी भक्तों की श्रद्धा का केंद्र है जहाँ प्रतिवर्ष भाद्रपक्ष सुदी चतुर्थी को मेला लगता है ।	
लोग पैदल किले की परिक्रमा भी करते हैं ।	
सन् 1192 में पृथ्वीराज चौहान के पोते गोविंदा ने इस पर राज किया था ।	
बाद में उसके बेटे बागभट्ट ने किले में बसे शहर को खूबसूरत बनाया ।	
सन् 1282 में चौहान वंशीय राजा हमीर यहाँ सत्तारूढ़ थे ।	
सन् 1290 में जलालुद्दीन खिलजी ने तीन बार आक्रमण कर इसे जीतने का प्रयास किया ।	
बाद में एक वर्ष तक घेरा डालकर 1301 में इसे जीता ।	
